Date,Time,Lat,Lon,sst,Speed,Dir,U(m/s),V(m/s)
2010-06-24,23:00:24,26.920600,-83.878700,30.518000,0.894075,95.372461,0.890147,-0.083712
2010-06-25,00:00:40,26.910500,-83.864600,30.302000,0.495585,128.776076,0.386358,-0.310374
2010-06-25,01:00:24,26.897700,-83.851500,30.215000,0.537292,137.614363,0.362198,-0.396857
2010-06-25,02:00:24,26.883500,-83.839400,30.172000,0.550518,142.766066,0.333102,-0.438307
2010-06-25,03:01:00,26.868200,-83.830500,30.129000,0.526780,152.576604,0.242615,-0.467584
2010-06-25,04:01:08,26.851300,-83.827000,30.085000,0.529299,169.532213,0.096164,-0.520490
2010-06-25,05:00:24,26.834400,-83.828400,30.085000,0.529542,-175.772723,-0.039034,-0.528101
2010-06-25,06:00:24,26.819700,-83.833900,30.042000,0.478363,-161.536815,-0.151495,-0.453740
2010-06-25,07:00:40,26.808500,-83.842700,30.042000,0.420365,-144.960701,-0.241347,-0.344177
2010-06-25,08:00:16,26.801600,-83.854400,29.999000,0.388934,-123.454456,-0.324497,-0.214409
2010-06-25,09:00:40,26.799400,-83.865400,29.999000,0.308519,-102.629606,-0.301054,-0.067457
2010-06-25,10:00:24,26.801200,-83.875100,29.956000,0.274178,-78.255576,-0.268438,0.055808
2010-06-25,11:00:24,26.806500,-83.882200,29.956000,0.254999,-50.092950,-0.195607,0.163593
2010-06-25,12:01:00,26.813600,-83.885500,29.912000,0.234912,-22.529997,-0.090011,0.216983
2010-06-25,13:00:40,26.821700,-83.885000,29.912000,0.251798,3.153198,0.013850,0.251417
2010-06-25,14:01:28,26.830100,-83.881700,29.912000,0.271137,19.319575,0.089702,0.255868
2010-06-25,15:01:12,26.837100,-83.876900,29.956000,0.254436,31.461523,0.132797,0.217031
2010-06-25,16:01:40,26.843500,-83.872300,29.999000,0.232870,32.672782,0.125712,0.196022
2010-06-25,17:00:16,26.849300,-83.865900,30.042000,0.257232,44.553053,0.180466,0.183304
2010-06-25,18:00:40,26.854600,-83.858100,30.129000,0.268216,52.706880,0.213378,0.162510
2010-06-25,19:00:16,26.858500,-83.849900,30.258000,0.257608,61.937436,0.227322,0.121188
2010-06-25,20:00:16,26.861300,-83.840600,30.345000,0.270281,71.351222,0.256090,0.086427
2010-06-25,21:00:48,26.862500,-83.830000,30.432000,0.291631,82.767804,0.289311,0.036714
2010-06-25,22:00:40,26.861200,-83.817600,30.518000,0.344563,96.702611,0.342208,-0.040216
2010-06-25,23:00:40,26.858700,-83.804300,30.475000,0.374278,101.898285,0.366236,-0.077167
2010-06-26,00:00:16,26.853500,-83.791200,30.432000,0.397488,113.985983,0.363162,-0.161584
2010-06-26,01:00:36,26.845400,-83.777500,30.388000,0.450108,123.531649,0.375202,-0.248639
2010-06-26,02:00:16,26.833500,-83.765800,30.302000,0.491356,138.740205,0.324036,-0.369365
2010-06-26,03:00:40,26.818700,-83.757800,30.215000,0.503838,154.248838,0.218899,-0.453801
2010-06-26,04:00:40,26.802000,-83.755700,30.129000,0.518710,173.596429,0.057852,-0.515473
2010-06-26,05:01:04,26.785400,-83.759600,30.042000,0.520066,-168.155832,-0.106744,-0.508993
2010-06-26,06:00:24,26.770900,-83.767500,29.956000,0.503294,-154.061757,-0.220142,-0.452596
2010-06-26,07:01:28,26.759500,-83.781000,29.912000,0.503153,-133.403699,-0.365556,-0.345734
2010-06-26,08:00:24,26.752500,-83.795400,29.826000,0.460071,-118.563825,-0.404074,-0.219977
2010-06-26,09:00:40,26.749700,-83.809000,29.782000,0.382989,-102.983181,-0.373198,-0.086044
2010-06-26,10:00:24,26.750500,-83.820100,29.696000,0.308317,-85.385672,-0.307318,0.024804
2010-06-26,11:00:20,26.754500,-83.828300,29.653000,0.257825,-61.353149,-0.226265,0.123604
2010-06-26,12:00:40,26.760800,-83.833600,29.609000,0.241870,-36.913351,-0.145269,0.193386
2010-06-26,13:00:36,26.767800,-83.835900,29.609000,0.225423,-16.350130,-0.063458,0.216307
2010-06-26,14:00:40,26.775200,-83.835100,29.609000,0.229220,5.513111,0.022022,0.228160
2010-06-26,15:00:16,26.783300,-83.831800,29.653000,0.267829,19.986963,0.091546,0.251698
2010-06-26,16:00:40,26.790500,-83.826500,29.696000,0.264167,33.309644,0.145071,0.220768
2010-06-26,17:00:40,26.796000,-83.822400,29.782000,0.203917,33.640658,0.112966,0.169767
2010-06-26,18:00:40,26.800600,-83.818000,29.826000,0.186698,40.490386,0.121227,0.141987
2010-06-26,19:00:16,26.803500,-83.813100,29.912000,0.163066,56.452811,0.135904,0.090114
2010-06-26,20:00:40,26.805400,-83.807200,29.956000,0.171657,70.160467,0.161469,0.058258
2010-06-26,21:01:04,26.806300,-83.800800,30.042000,0.177311,81.046310,0.175151,0.027596
2010-06-26,22:00:24,26.806500,-83.792500,30.042000,0.231315,88.453523,0.231231,0.006243
2010-06-26,23:00:40,26.806100,-83.781800,30.042000,0.293734,92.398387,0.293477,-0.012292
2010-06-27,00:00:16,26.803700,-83.768800,29.956000,0.368185,101.686318,0.360553,-0.074577
2010-06-27,01:00:28,26.799200,-83.754800,29.912000,0.408597,109.804660,0.384430,-0.138439
2010-06-27,02:00:40,26.792500,-83.741700,29.869000,0.414601,119.811742,0.359734,-0.206120
2010-06-27,03:00:24,26.783800,-83.731100,29.869000,0.398533,132.596322,0.293377,-0.269739
2010-06-27,04:00:40,26.773700,-83.723200,29.826000,0.378556,145.073714,0.216732,-0.310374
2010-06-27,05:01:08,26.763200,-83.718800,29.782000,0.343371,159.487169,0.120323,-0.321599
2010-06-27,06:00:16,26.751800,-83.718100,29.782000,0.357573,176.861705,0.019576,-0.357037
2010-06-27,07:00:20,26.740800,-83.720700,29.782000,0.346629,-168.081263,-0.071587,-0.339156
2010-06-27,08:00:24,26.731700,-83.726000,29.782000,0.316261,-152.518825,-0.145941,-0.280575
2010-06-27,09:00:40,26.725200,-83.734300,29.739000,0.302975,-131.245017,-0.227806,-0.199746
2010-06-27,10:01:12,26.721400,-83.742500,29.696000,0.252445,-117.421719,-0.224080,-0.116260
2010-06-27,11:00:16,26.720900,-83.750400,29.696000,0.221802,-94.053115,-0.221247,-0.015677
2010-06-27,12:00:20,26.724400,-83.755700,29.696000,0.181519,-53.522855,-0.145958,0.107913
2010-06-27,13:00:40,26.729400,-83.757900,29.696000,0.164907,-21.454358,-0.060316,0.153481
2010-06-27,14:01:32,26.736300,-83.757700,29.696000,0.210018,1.482905,0.005435,0.209947
2010-06-27,15:00:16,26.742800,-83.755000,29.739000,0.218609,20.353031,0.076033,0.204960
2010-06-27,16:00:36,26.748900,-83.750600,29.782000,0.222730,32.787183,0.120613,0.187246
2010-06-27,17:00:24,26.754500,-83.745700,29.826000,0.220094,38.002108,0.135510,0.173431
2010-06-27,18:01:12,26.759600,-83.740300,29.912000,0.213788,43.393813,0.146874,0.155349
2010-06-27,19:01:28,26.764200,-83.734700,30.042000,0.208787,47.386849,0.153655,0.141358
2010-06-27,20:00:24,26.768100,-83.728700,30.085000,0.208236,53.945226,0.168349,0.122559
2010-06-27,21:00:40,26.772000,-83.721400,30.129000,0.233405,59.104536,0.200286,0.119847
2010-06-27,22:00:20,26.774800,-83.710800,30.129000,0.306330,73.518114,0.293743,0.086909
2010-06-27,23:00:36,26.777100,-83.698400,30.129000,0.347459,78.263140,0.340195,0.070679
2010-06-28,00:00:24,26.777400,-83.686000,30.042000,0.342971,88.447688,0.342846,0.009291
